timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:04:50.538941,of:0000000000000004,3,556,556
2022-10-20T16:04:50.538950,of:0000000000000001,1,556,556
2022-10-20T16:04:50.538956,of:0000000000000001,2,556,556
2022-10-20T16:04:50.538965,of:0000000000000002,1,556,556
2022-10-20T16:04:50.538971,of:0000000000000002,2,556,556
2022-10-20T16:04:50.538977,of:0000000000000002,3,556,556
2022-10-20T16:04:50.539338,of:0000000000000007,1,0,556
2022-10-20T16:04:50.539366,of:0000000000000007,2,0,556
2022-10-20T16:04:50.539375,of:0000000000000007,3,556,556
2022-10-20T16:04:50.539384,of:0000000000000005,1,556,556
2022-10-20T16:04:50.539390,of:0000000000000005,2,556,556
2022-10-20T16:04:50.539396,of:0000000000000005,3,556,556
2022-10-20T16:04:50.539405,of:0000000000000006,1,0,556
2022-10-20T16:04:50.539411,of:0000000000000006,2,0,556
2022-10-20T16:04:50.539418,of:0000000000000006,3,556,556
2022-10-20T16:04:51.542556,of:0000000000000003,1,0,556
2022-10-20T16:04:51.542637,of:0000000000000003,2,0,556
2022-10-20T16:04:51.542649,of:0000000000000003,3,556,556
2022-10-20T16:04:51.542664,of:0000000000000004,1,0,556
2022-10-20T16:04:51.542673,of:0000000000000004,2,0,556
2022-10-20T16:04:51.542681,of:0000000000000004,3,556,556
2022-10-20T16:04:51.542694,of:0000000000000001,1,556,556
2022-10-20T16:04:51.542703,of:0000000000000001,2,556,556
2022-10-20T16:04:51.542715,of:0000000000000002,1,556,556
2022-10-20T16:04:51.542723,of:0000000000000002,2,556,556
2022-10-20T16:04:51.542732,of:0000000000000002,3,556,556
2022-10-20T16:04:51.542745,of:0000000000000007,1,0,556
2022-10-20T16:04:51.542753,of:0000000000000007,2,0,556
2022-10-20T16:04:51.542762,of:0000000000000007,3,556,556
2022-10-20T16:04:51.542774,of:0000000000000005,1,556,556
2022-10-20T16:04:51.542782,of:0000000000000005,2,556,556
2022-10-20T16:04:51.542790,of:0000000000000005,3,556,556
2022-10-20T16:04:51.542802,of:0000000000000006,1,0,556
2022-10-20T16:04:51.542812,of:0000000000000006,2,0,556
2022-10-20T16:04:51.542820,of:0000000000000006,3,556,556
2022-10-20T16:04:52.556755,of:0000000000000003,1,0,556
2022-10-20T16:04:52.556806,of:0000000000000003,2,0,556
2022-10-20T16:04:52.556815,of:0000000000000003,3,556,556
2022-10-20T16:04:52.556828,of:0000000000000004,1,0,556
2022-10-20T16:04:52.556837,of:0000000000000004,2,0,556
2022-10-20T16:04:52.556844,of:0000000000000004,3,556,556
2022-10-20T16:04:52.556869,of:0000000000000001,1,556,556
2022-10-20T16:04:52.556877,of:0000000000000001,2,556,556
2022-10-20T16:04:52.556888,of:0000000000000002,1,556,556
2022-10-20T16:04:52.556897,of:0000000000000002,2,556,556
2022-10-20T16:04:52.556904,of:0000000000000002,3,556,556
